english_sentence,hindi_sentence
Move ~ a onto an empty bottom slot.,~ a को एक खाली नीचे स्लॉट में ले जाएँ. 
Move ~ a onto an empty left slot.,~ a को एक खाली बाएं स्लॉट में ले जाएँ. 
Move ~ a onto an empty right slot.,~ a को एक खाली दाएँ स्लॉट में ले जाएँ. 
Move ~ a onto an empty slot.,~ a को एक खाली स्लॉट में ले जाएँ. 
Move ~ a onto the black joker.,~ a को काला जोकर पर ले जाएँ. 
Move ~ a onto the red joker.,~ a को लाल जोकर पर ले जाएँ. 
Move ~ a onto the ace of clubs.,~ a को एक क्लब का इक्का पर ले जाएँ
Move ~ a onto the two of clubs.,~ a को एक क्लब का दोनों पर ले जाएँ
Move ~ a onto the three of clubs.,~ a को एक चिड़ी की तिक्की पर ले जाएँ
Move ~ a onto the four of clubs.,~ a को चिड़ी का चौवा पर ले जाएँ
Move ~ a onto the five of clubs.,~ a को एक चिड़ी का पंजा पर ले जाएँ
Move ~ a onto the six of clubs.,~ a को चिड़ी का छक्का पर ले जाएँ
Move ~ a onto the seven of clubs.,~ a को चिड़ी का सत्ता पर ले जाएँ
Move ~ a onto the eight of clubs.,~ a को चिड़ी का अट्ठा पर ले जाएँ
Move ~ a onto the nine of clubs.,~ a को चिड़ी का नहला पर ले जाएँ
Move ~ a onto the ten of clubs.,~ a को चिड़ी का दहला पर ले जाएँ
Move ~ a onto the jack of clubs.,~ a को चिड़ी का गुलाम पर ले जाएँ
Move ~ a onto the queen of clubs.,~ a को चिड़ी की बेगम पर ले जाएँ
Move ~ a onto the king of clubs.,~ a को चिड़ी का बादशाह पर ले जाएँ
Move ~ a onto the unknown card.,~ a को अज्ञात पत्ता से बाहर ले जाएँ
Move ~ a onto the ace of spades.,~ a को एक हुकुम का इक्का पर ले जाएँ
Move ~ a onto the two of spades.,~ a को एक हुकुम का दुक्का पर ले जाएँ
Move ~ a onto the three of spades.,~ a को एक हुकुम की तिक्की पर ले जाएँ
Move ~ a onto the four of spades.,~ a को एक हुकुम का चव्वा पर ले जाएँ
Move ~ a onto the five of spades.,~ a को एक हुकुम का पंजा पर ले जाएँ
Move ~ a onto the six of spades.,~ a को एक हुकुम का छक्का पर ले जाएँ
Move ~ a onto the seven of spades.,~ a को एक हुकुम का सत्ता पर ले जाएँ
Move ~ a onto the eight of spades.,~ a को एक हुकुम का अट्ठा पर ले जाएँ
Move ~ a onto the nine of spades.,~ a को एक हुकुम का नहला पर ले जाएँ
Move ~ a onto the ten of spades.,~ a को एक हुकुम का दहला पर ले जाएँ
Move ~ a onto the jack of spades.,~ a को एक हुकुम का गुलाम पर ले जाएँ
Move ~ a onto the queen of spades.,~ a को एक हुकुम की बेगम पर ले जाएँ
Move ~ a onto the king of spades.,~ a को एक हुकुम का बादशाह पर ले जाएँ
Move ~ a onto the ace of hearts.,~ a को एक लाल पान का इक्का पर ले जाएँ
Move ~ a onto the two of hearts.,~ a को एक लाल पान का दुक्का पर ले जाएँ
Move ~ a onto the three of hearts.,~ a को एक लाल पान की तिक्की पर ले जाएँ
Move ~ a onto the four of hearts.,~ a को एक लाल पान का चव्वा पर ले जाएँ
Move ~ a onto the five of hearts.,~ a को एक लाल पान का पंजा पर ले जाएँ
Move ~ a onto the six of hearts.,~ a को एक लाल पान का छक्का पर ले जाएँ
Move ~ a onto the seven of hearts.,~ a को एक लाल पान का सत्ता पर ले जाएँ
Move ~ a onto the eight of hearts.,~ a को एक लाल पान का अट्ठा पर ले जाएँ
Move ~ a onto the nine of hearts.,~ a को एक लाल पान का नहला पर ले जाएँ
Move ~ a onto the ten of hearts.,~ a को एक लाल पान का दहला पर ले जाएँ
Move ~ a onto the jack of hearts.,~ a को एक लाल पान का गुलाम पर ले जाएँ
Move ~ a onto the queen of hearts.,~ a को एक लाल पान की बेगम पर ले जाएँ
Move ~ a onto the king of hearts.,~ a को एक लाल पान का बादशाह पर ले जाएँ
